FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
ANATIDAE,DENBI,Dendrocygna bicolor,Pato-silbón canelo,Acc,,,,,,,,,,
ANATIDAE,DENVI,Dendrocygna viduata,Pato-silbon cara blanca,Acc,,,,,,,,,,
ANATIDAE,DENAU,Dendrocygna autumnalis,Pato-silbón ventrinegro,Acc,,,,,,,,,,
ANATIDAE,OREME,Oressochen melanopterus,"Huachua, Huallata",Ma,,,,,,,,,,
ANATIDAE,SARME,Sarkidiornis melanotos,Pato arrocero,Acc,,,,,,,,,,
ANATIDAE,LOPSP,Lophonetta specularioides,Pato cordillerano,Ma,,,,,,,,,,
ANATIDAE,SPAPU,Spatula puna,Pato puna,Ma,,,,,,,,,,
ANATIDAE,SPADI,Spatula discors,Pato media luna,Mb,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,,,,,,,,,,
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,41,12,12,12,23,,,12,,112
ANATIDAE,ANAGE,Anas georgica,"Pato jerga, Pisacca",Ma,16,7,2,6,5,,,,,36
ANATIDAE,ANAFL,Anas flavirostris,Pato sutro,Ma,,,,,,,,,,0
ANATIDAE,NOMDO,Nomonyx dominicus,Pato Enmascarado,Acc,,,,,,,,,,0
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,,,,,,,,,,0
ANATIDAE,ANAPL,Anas platyrhynchos,Pato cabeza verde,H,1,,,5,4,,,,,10
PHOENICOPTERIDAE,PHOCH,Phoenicopterus chilensis,Parihuana,Ma,,,,,,,,,,0
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,,,,,,,,0
PODICIPEDIDAE,TACDO,Tachybaptus dominicus,Zambullidor enano,Acc,,,,3,1,,,,,4
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,,,,,,,,,,0
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,1,2,,5,1,,,1,,10
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,6,,2,2,,,,,10
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,,,,,,,,,,0
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,14,,,,,,,,,14
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,18,7,5,16,,,,8,36,90
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,,0
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,,,,,,,,,,0
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,2,,,,,,,1,70,73
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,,0
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,0
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,0
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,0
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,0
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,0
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,0
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,0
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,,,,0
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,,,,,,0
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,Acc,,,,,2,,,,3,5
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,0
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,0
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,0
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,,,,,,,,,0
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,2,,,1,,,,2,,5
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,Mb,,,,,,,,,,0
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,,,,,,,,,,0
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,R,8,10,2,7,10,,,9,,46
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,0
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,,,,,,,,,,0
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,9,1,,,1,,,1,,12
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,0
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,0
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Ma,,,,,,,,,,0
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,Ma,,,,,,,,,,0
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,,,,,,,,0
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,8,3,3,,18,29,,61
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,0
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,,,,,,0
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,50,4,,,,54
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,,,,,,,,,,0
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,29,,,2,7,,,,,38
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,,,,0
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,0
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,,,,,,,0
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,37,,,,,9,,46
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,1,,1
SCOLOPACIDAE,CALVI,Aphriza virgata,Chorlo de las rompientes,Mb,,,,,,,,13,,13
SCOLOPACIDAE,CALCA,Calidris canutus,Playero de Groenlandia,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,2,,3,,5
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,3,4,,4,,
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,3,,,,3
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,0
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,,,1,,2,,3
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,0
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,0
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,7,,,,,,,3,,10
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,0
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,2,,2
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,0
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,0
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,,,,,,0
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,0
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,540,,540
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,,,,,,,,,,0
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,,,,,,0
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,32,79,28,,,,,7,,146
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,,,,,,,,,,0
