FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
ANATIDAE,CALLE,Callonetta leucophrys,pato de collar,Acc,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,8,16,12,10,55,,1,28,,
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,6,2,20,8,1,,,4,,
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,4,2,,4,18,,,,,
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,,2,3,,,,,
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,2,3,,4,,,,,,
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,,4,,4,6,8,,,,
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,12,,,,,,,,44,
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,6,10,2,18,1,,24,3,12,
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,,,2,,,2
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,,,,,,,,,123,123
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,1,1
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,,,,,1,1
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,2,,2,,,,1,,5
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,14,14,11,7,35,13,,34,,128
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,8,5,,4,8,,,1,,26
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,6,3,4,,10,4,,27
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,,,,,,0
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,28,16,,,,44
RECURVIROSTRIDAE,HIMMEL,Himantopus melanurus,Perrito o cigüeñuela,R,,,,,,,,,,0
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,4,,,10,,,2,7,,23
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,,,,0
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,,14,1,,,,15
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,3,,,,3
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,57,,,,57
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,3,,9,,,12
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,,7,,7
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,8,12,10,86,,5,7,,128
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,,4,,,3,,2,2,1,12
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,4,,,,2,5,,11
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,,,,,,,4,11,,15
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,,,,,,0
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,133,21,,38,48,,,,,240
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,,4,,,,4
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,,,,,,,,,,0
LARIDAE,LARBE,Larus belcheri,Gaviota peruana,Ml,4,,1,3,11,53,,,,72
LARIDAE,LARDO,Larus dominicanus,Gaviota dominicana,Ml,,3,,,26,103,9,,,141
LARIDAE,LARIN,Larosterna inca,Zarcillo,Ml,,,,,,,,,,0
LARIDAE,STEHDO,Sterna hirundo,Gaviotín común,Mb,,,,,,,,,,0
LARIDAE,THAEL,Thalasseus elegans,Gaviotín elegante,Mb,,,,,,,,,,0
SULIDAE,SULVA,Sula variegata,Piquero común,Ml,,,,,,67,,,,67
PHALACROCORACIDAE,PHAGA,Phalacrocorax gaimardi,Chuita,Ml,,,,,,1,,,,1
PHALACROCORACIDAE,PHABR,Phalacrocorax brasilianus,"Cushuri, cormorán, cuervo de mar",R,2,251,10,86,176,1,15,,,541
PHALACROCORACIDAE,PHABO,Phalacrocorax boungainvillii,Guanay,Ml,,,,,,302,,,,302
PELECANIDAE,PELTH,Pelecanus thagus,Pelícano peruano,Ml,,,,,,132,,,,132
