FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,OBSERV.
ANATIDAE,DENBI,Dendrocygna bicolor,Pato-silbón canelo,Acc,,,,,,,,,,,
ANATIDAE,DENVI,Dendrocygna viduata,Pato-silbon cara blanca,Acc,,,,,,,,,,,
ANATIDAE,DENAU,Dendrocygna autumnalis,Pato-silbón ventrinegro,Acc,,,,,,,,,,,
ANATIDAE,OREME,Oressochen melanopterus,"Huachua, Huallata",Ma,,,,,,,,,,,
ANATIDAE,SARME,Sarkidiornis melanotos,Pato arrocero,Acc,,,,,,,,,,,
ANATIDAE,LOPSP,Lophonetta specularioides,Pato cordillerano,Ma,,,,,,,,,,,
ANATIDAE,SPAPU,Spatula puna,Pato puna,Ma,,,,,,,,,,,
ANATIDAE,SPADI,Spatula discors,Pato media luna,Mb,,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,20,6,4,7,5,,,22,,64,
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,32,2,5,,29,,,4,,72,
ANATIDAE,ANAGE,Anas georgica,"Pato jerga, Pisacca",Ma,,,,,,,,,,,
ANATIDAE,ANAFL,Anas flavirostris,Pato sutro,Ma,,,,,,,,,,,
ANATIDAE,NOMDO,Nomonyx dominicus,Pato Enmascarado,Acc,,,,,,,,,,,
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,2,,,,3,,,,,5,T-5 (3 juveniles)
ANATIDAE,ANAPL,Anas platyrhynchos,Pato cabeza verde,H,,,,,,,,,,,
PHOENICOPTERIDAE,PHOCH,Phoenicopterus chilensis,Parihuana,Ma,,,,,4,,,,,4,
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,2,,2,,,,,4,
PODICIPEDIDAE,TACDO,Tachybaptus dominicus,Zambullidor enano,Acc,,,,,,,,,,,
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,2,2,,,3,,,,,7,
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,,4,,,3,1,,,,8,
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,,,,,,,,,,
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,,,,1,,,9,,,10,
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,,8,3,1,5,,13,2,,32,
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,1,,3,,,4,
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,,,
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,4,,,,,,,,13,17,
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,,,,,,,,,,,
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,,,
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,,
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,,
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,,
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,,
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,,
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,,
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,,
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,1,,,,
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,,,,,1,1,
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,Acc,,,,,,,,,,,
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,,
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,,
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,,
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,2,1,,,,,,,,3,
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,,,,,,,,,,,
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,Mb,,,,,,,,,,,
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,9,4,10,1,16,,,10,,50,
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,R,,,,,,,,,,,
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,,
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,6,4,,,3,,,,1,14,
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,,,,,,,,,,,
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,,
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,,
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Ma,,,,,,,,,,,
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,Ma,,,,,,,,,,,
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,,,2,,5,,,7,
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,,,,,,,
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,,
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,29,,,,,29,
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,,,,,,,
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,7,,,8,9,,,,,24,
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,,,,,,,,,,,
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,2,,,2,
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,,
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,,1,,,,,1,
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,,,,,,,,,
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALVI,Aphriza virgata,Chorlo de las rompientes,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALCA,Calidris canutus,Playero de Groenlandia,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,6,,7,,,13,
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,,,,,,,
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,,,,,,
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,,
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,,
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,,
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,2,7,1,6,2,,3,2,,23,
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,,
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,,,8,,,6,,14,
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,,
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,2,,,,2,,,,,4,
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,,
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,,
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,,
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,,
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,401,2,,,,403,
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,,
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,,
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,50,29,4,,,,,,,83,
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,15,,,,,15,
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,,,,,,,,,,,
