FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL,
ANATIDAE,DENBI,Dendrocygna bicolor,Pato-silbón canelo,Acc,,,,,,,,,,,
ANATIDAE,DENVI,Dendrocygna viduata,Pato-silbon cara blanca,Acc,,,,,,,,,,,
ANATIDAE,DENAU,Dendrocygna autumnalis,Pato-silbón ventrinegro,Acc,,,,,,,,,,,
ANATIDAE,OREME,Oressochen melanopterus,"Huachua, Huallata",Ma,,,,,,,,,,,
ANATIDAE,SARME,Sarkidiornis melanotos,Pato arrocero,Acc,,,,,,,,,,,
ANATIDAE,CALLE,Callonetta leucophrys,Pato de collar,Acc,,,,,,,,,,,
ANATIDAE,LOPSP,Lophonetta specularioides,Pato cordillerano,Ma,,,,,,,,,,,
ANATIDAE,SPAPU,Spatula puna,Pato puna,Ma,,,,,,,,,,,
ANATIDAE,SPADI,Spatula discors,Pato media luna,Mb,,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,5,6,4,,,9,43,8,,75,
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,,3,,,,18,12,2,,35,
ANATIDAE,ANAGE,Anas georgica,"Pato jerga, Pisacca",Ma,,,,,,,,,,0,
ANATIDAE,ANAFL,Anas flavirostris,Pato sutro,Ma,,,,,,,,,,0,
ANATIDAE,NOMDO,Nomonyx dominicus,Pato Enmascarado,Acc,,,,,,,,,,0,
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,2,,,,,12,1,,,15,
ANATIDAE,ANAPL,Anas platyrhynchos,Pato cabeza verde,H,,,,,,,,,,0,
PHOENICOPTERIDAE,PHOCH,Phoenicopterus chilensis,Parihuana,Ma,,,,,,,,,,0,
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,,,,,,,,0,
PODICIPEDIDAE,TACDO,Tachybaptus dominicus,Zambullidor enano,Acc,,,,,,,,,,0,
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,4,1,,,,,1,,,6,
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,4,1,,,,,,,,5,
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,,,,,,,,,0,
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,,,,,,,,,6,6,
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,7,,2,1,27,,14,5,59,115,
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,3,,,,,3,
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,,0,
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,,,,,,,,,29,29,
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,,,,,,,,,,0,
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,1,1,
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,0,
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,0,
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,0,
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,,
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,0,
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,0,
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,0,
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,,,,0,
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,,,,2,16,18,
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,Acc,,,,,,,,,,0,
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,0,
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,0,
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,0,
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,,,,,,,,,0,
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,,,,,,,,,,0,
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,Mb,,,,,,,,,,,
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,7,3,,,4,5,6,1,,26,
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,R,,,,,,,,,,0,
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,0,
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,9,1,,,,2,9,,,21,
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,,,,,,,,,,0,
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,,
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,,
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Ma,,,,,,,,,,0,
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,Ma,,,,,,,,,,0,
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,,,6,,,18,,24,
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,17,,,,,17,
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,0,
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,2,30,,,,32,
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,,,,,,0,
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,,,,,7,7,15,5,,34,
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,,,,,,,,,,0,
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,4,2,,,,6,
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,,
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,,,,,,,,
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,,,,,,,,,
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALVI,Aphriza virgata,Chorlo de las rompientes,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALCA,Calidris canutus,Playero de Groenlandia,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,19,,,,,19,
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,3,,,,,3,
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,,,,,,
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,,,,,,0,
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,,,,,,
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,,
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,,,,,,,,
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,0,
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,,
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,5,,,,3,2,2,,,12,
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,,
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,,,,1,,2,,3,
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,,
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,,,,,16,9,1,2,,28,
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,0,
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,0,
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,,
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,,
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,,84,,,,84,
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,0,
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,0,
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,16,20,9,,,6,15,,,66,
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,,,,,,0,
