FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
ANATIDAE,DENBI,Dendrocygna bicolor,Pato-silbón canelo,Acc,,,,,,,,,,
ANATIDAE,DENVI,Dendrocygna viduata,Pato-silbon cara blanca,Acc,,,,,,,,,,
ANATIDAE,DENAU,Dendrocygna autumnalis,Pato-silbón ventrinegro,Acc,,,,,,,,,,
ANATIDAE,OREME,Oressochen melanopterus,"Huachua, Huallata",Ma,,,,,,,,,,
ANATIDAE,SARME,Sarkidiornis melanotos,Pato arrocero,Acc,,,,,,,,,,
ANATIDAE,CALLE,Callonetta leucophrys,Pato de collar,Acc,,,,,,,,,,
ANATIDAE,LOPSP,Lophonetta specularioides,Pato cordillerano,Ma,,,,,,,,,,
ANATIDAE,SPAPU,Spatula puna,Pato puna,Ma,,,,,,,,,,
ANATIDAE,SPADI,Spatula discors,Pato media luna,Mb,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,10,9,12,14,63,,4,36,,148
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,10,,,32,,,,,,42
ANATIDAE,ANAGE,Anas georgica,"Pato jerga, Pisacca",Ma,,,,,,,,,,0
ANATIDAE,ANAFL,Anas flavirostris,Pato sutro,Ma,,,,,,,,,,0
ANATIDAE,NOMDO,Nomonyx dominicus,Pato Enmascarado,Acc,,,,,,,,,,
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,,3,,2,8,,,,,13
ANATIDAE,ANAPL,Anas platyrhynchos,Pato cabeza verde,H,,,,,,,,,,0
PHOENICOPTERIDAE,PHOCH,Phoenicopterus chilensis,Parihuana,Ma,,,,,,,,,,0
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,,2,2,,,,,4
PODICIPEDIDAE,TACDO,Tachybaptus dominicus,Zambullidor enano,Acc,,,,,,,,,,
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,,2,,,2,,,,,4
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,,12,,,6,,,,,18
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,,,,,,,,,0
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,20,,,,,,,,4,24
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,2,12,2,4,1,,48,12,93,174
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,,,,,,0
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,,0
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,,,,,,,,,75,75
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,,,,,,,,,,0
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,,,,0
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,0
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,0
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,0
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,0
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,0
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,0
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,,,,0
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,2,,,1,,2,5
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,Acc,,,,,,,,,,
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,0
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,0
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,0
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,,,,,,2,,,2
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,,,,,,,,,,
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,Mb,,,,,,,,,,0
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,13,8,19,33,41,6,12,54,,186
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,R,,,,,,,,,,0
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,0
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,4,3,,4,11,,,,,22
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,,,,,,,,,,
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,0
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,0
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Ma,,,,,,,,,,0
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,Ma,,,,,,,,,,0
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,7,4,6,,14,8,,39
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,,,,,,0
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,0
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,33,2,,,,35
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,,,,,,0
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,2,,14,,,,,,,16
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,,,,,,,,,,0
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,,,,0
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,0
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,32,,3,3,,,,38
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,,,,,,,,0
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALVI,Aphriza virgata,Chorlo de las rompientes,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALCA,Calidris canutus,Playero de Groenlandia,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,,,,0
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,,,,,0
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,,,,,,,,,,
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,,,,,,0
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,,,,,0
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,0
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,,,,,,,0
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,0
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,0
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,0
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,,,,,,,,,,0
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,0
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,0
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,0
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,0
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,248,,,,,248
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,1,,,,,1
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,0
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,42,57,66,59,6,,,,,230
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,48,61,,,,109
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,,,,,,,,,,0
