FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
ANATIDAE,DENBI,Dendrocygna bicolor,Pato-silbón canelo,Acc,,,,,,,,,,
ANATIDAE,DENVI,Dendrocygna viduata,Pato-silbon cara blanca,Acc,,,,,,,,,,
ANATIDAE,DENAU,Dendrocygna autumnalis,Pato-silbón ventrinegro,Acc,,,,,,,,,,
ANATIDAE,OREME,Oressochen melanopterus,"Huachua, Huallata",Ma,,,,,,,,,,
ANATIDAE,SARME,Sarkidiornis melanotos,Pato arrocero,Acc,,,,,,,,,,
ANATIDAE,LOPSP,Lophonetta specularioides,Pato cordillerano,Ma,,,,,,,,,,
ANATIDAE,SPAPU,Spatula puna,Pato puna,Ma,,,,,,,,,,
ANATIDAE,SPADI,Spatula discors,Pato media luna,Mb,,,,,,,,,,
ANATIDAE,SPACY,Spatula cyanoptera,Pato colorado,R,30,11,20,47,2,,3,13,,126
ANATIDAE,ANABA,Anas bahamensis,Pato gargantillo,R,10,4,2,2,8,,,3,,29
ANATIDAE,ANAGE,Anas georgica,"Pato jerga, Pisacca",Ma,,,,,,,,,,
ANATIDAE,ANAFL,Anas flavirostris,Pato sutro,Ma,,,,,,,,,,
ANATIDAE,NOMDO,Nomonyx dominicus,Pato Enmascarado,Acc,,,,,,,,,,
ANATIDAE,OXYJA,Oxyura jamaicensis,Pato rana o taclón,R,3,4,,3,13,,,,,23
ANATIDAE,ANAPL,Anas platyrhynchos,Pato cabeza verde,H,,,,,,,,,,
PHOENICOPTERIDAE,PHOCH,Phoenicopterus chilensis,Parihuana,Ma,,,,,,,,,,
PODICIPEDIDAE,ROLRO,Rollandia rolland,Zambullidor pimpollo,R,,,,4,2,,,,,6
PODICIPEDIDAE,TACDO,Tachybaptus dominicus,Zambullidor enano,Acc,,,,,,,,,,
PODICIPEDIDAE,PODPO,Podilymbus podiceps,Zambullidor pico grueso,R,2,,,,,,,,,2
PODICIPEDIDAE,PODMA,Podiceps major,Zambullidor grande,R,,5,,,3,,,,,8
PODICIPEDIDAE,PODOC,Podiceps occipitalis,Zambullidor plateado,Ma,,,,,,,,,,
COLUMBIDAE,COLLI,Columba livia,"Paloma doméstica, paloma de castilla",R,2,,,,,,,,,2
COLUMBIDAE,ZENME,Zenaida meloda,Paloma cuculi,R,3,3,,8,,,37,2,18,71
COLUMBIDAE,ZENAU,Zenaida auriculata,Madrugadora o rabiblanca,R,,,,,,,2,,,2
COLUMBIDAE,COLMI,Columbina minuta,Tortolita menuda,Ml,,,,,,,,,47,47
COLUMBIDAE,COLCR,Columbina cruziana,Tortolita peruana,R,,,,,,,,,,
COLUMBIDAE,METCE,Metriopelia ceciliae,Cascabelita común,Ml,,,,,,,,,,
CUCULIDAE,CROSU,Crotophaga sulcirostris,Guardacaballo,R,,,,,,,3,,1,4
CUCULIDAE,COCME,Coccyzus melacoryphus,Cuclillo piquioscuro,Acc,,,,,,,,,,
CAPRIMULGIDAE,CHOAC,Chordeiles acutipennis,Chotacabras trinador,R,,,,,,,,,,
APODIDAE,STRZO,Streptoprocne zonaris,Vencejo collar blanco,Ma,,,,,,,,,,
APODIDAE,CHAPE,Chaetura pelagica,Vencejo de chimenea,Mb,,,,,,,,,,
APODIDAE,AERAN,Aeronautes andecolus,Vencejo andino,Ma,,,,,,,,,,
TROCHILIDAE,MYRFA,Myrtis fanny,Picaflor de Fanny,R,,,,,,,,,,
TROCHILIDAE,RHOVE,Rhodopis vesper,Colibrí de oasis,Ml,,,,,,,,,,
TROCHILIDAE,THACO,Thaumastura cora,Picaflor de cora,R,,,,,,,,,,
TROCHILIDAE,AMAAM,Amazilia amazilia,Amazilia costeña,R,,,,,2,,1,,5,8
RALLIDAE,RALLI,Rallus limicola,Gallinetita chica,R,,,,,,,,,,
RALLIDAE,PORMA,Porphyrio martinica,Polla sultana,R,,,,,,,,,,
RALLIDAE,LATJA,Laterallus jamaicensis,Gallinetita negra,R,,,,,,,,,,
RALLIDAE,MUSER,Mustelirallus erythrops,Gallinetita pico rojo,Ma,,,,,,,,,,
RALLIDAE,PARSA,Pardirallus sanguinolentus,Gallineta común,R,,1,,1,,,,8,,10
RALLIDAE,ARACA,Aramides cajaneus,Unchala,Acc,,,,,,,,,,
RALLIDAE,PORCA,Porzana carolina,Gallineta sora,N,,,,,,,,,,
RALLIDAE,GALGA,Gallinula galeata,Polla de agua,R,17,15,1,14,34,16,10,34,,141
RALLIDAE,FULRU,Fulica rufifrons,Gallareta frente roja,Ml,,,,,,,,,,
RALLIDAE,FULGI,Fulica gigantea,"Gallareta gigante , Choca",Ma,,,,,,,,,,
RALLIDAE,FULAR,Fulica ardesiaca,"Gallareta andina, Huayno",R,10,9,,1,6,,,,,26
RALLIDAE,FULLE,Fulica Leucoptera,Gallareta de frente amarilla,Acc,,,,,,,,,,
CHARADRIIDAE,PLUDO,Pluvialis dominica,Chorlo dorado americano,Mb,,,,,,,,,,
CHARADRIIDAE,PLUSQ,Pluvialis squatarola,Chorlo ártico,Mb,,,,,,,,,,
CHARADRIIDAE,VANCA,Vanellus cayanus,Avefría pinta,Mb,,,,,,,,,,
CHARADRIIDAE,VANRE,Vanellus resplendens,Liquelique,R,,,,,,,,,,
CHARADRIIDAE,CHAVO,Charadrius vociferus,Chorlo doble collar,R,,,5,1,4,,23,4,,37
CHARADRIIDAE,CHASE,Charadrius semipalmatus,Chorlo semipalmado,Mb,,,,,,,,,,
CHARADRIIDAE,CHANI,Charadrius nivosus,Chorlo nevado,R,,,,,,,,,,
HAEMATOPODIDAE,HAEPA,Haematopus palliatus,Ostrero común,R,,,,,39,4,,,,43
HAEMATOPODIDAE,HAEAT,Haematopus ater,Ostrero negro,R,,,,,,,,,,
RECURVIROSTRIDAE,HIMMEX,Himantopus mexicanus,Perrito o cigüeñuela,R,10,,,,,,,,,10
RECURVIROSTRIDAE,RECAN,Recurvirostra andina,Avoceta andina,Ma,,,,,,,,,,
BURHINIDAE,BURSU,Burhinus superciliaris,Huerequeque,R,,,,,,,,,,
SCOLOPACIDAE,BARLO,Bartramia longicauda,Playero de Bartram,Mb,,,,,,,,,,
SCOLOPACIDAE,NUMPH,Numenius phaeopus,Zarapito trinador,Mb,,,,48,,,,,,48
SCOLOPACIDAE,LIMHA,Limosa haemastica,Aguja de mar,Mb,,,,,,,,,,
SCOLOPACIDAE,AREIN,Arenaria interpres,Vuelvepiedras,Mb,,,,,,,,,,
SCOLOPACIDAE,CALAL,Calidris alba,Playero blanco,Mb,,,,,,,,,,
SCOLOPACIDAE,CALPU,Calidris pusilla,Playerito semipalmado,Mb,,,,,,,,2,,2
SCOLOPACIDAE,CALMA,Calidris mauri,Playerito occidental,Mb,,,,,,,,,,
SCOLOPACIDAE,CALMI,Calidris minutilla,Playero pico fino,Mb,,,,,,,,,,
SCOLOPACIDAE,CALBA,Calidris bairdii,Playero de Baird,Mb,,,,,,,,,,
SCOLOPACIDAE,CALME,Calidris melanotos,Playero pectoral,Mb,,,,,,,1,,,1
SCOLOPACIDAE,CALFE,Calidris ferruginea,Playero zarapito,Mb,,,,,,,,,,
SCOLOPACIDAE,CALHI,Calidris himantopus,Playero pata larga,Mb,,,,,,,,,,
SCOLOPACIDAE,PHIPU,Philomachus pugnax,Playero Combatiente,H,,,,,,,,,,
SCOLOPACIDAE,LIMGR,Limnodromus griseus,Becasina migratoria,Mb,,,,,,,,,,
SCOLOPACIDAE,LIMSC,Limnodromus scolopaceus,Becasina pico largo,Mb,,,,,,,,,,
SCOLOPACIDAE,GALPA,Gallinago paraguaiae,Becasina sudamericana,Mb,,,,,,,,,,
SCOLOPACIDAE,PHATR,Phalaropus tricolor,Falaropo de Wilson,Mb,,,,,,,,,,
SCOLOPACIDAE,PHALO,Phalaropus lobatus,Faláropo picofino,S,,,,,,,,,,
SCOLOPACIDAE,PHAFU,Phalaropus fulicarius,Faláropo picogrueso,Mb,,,,,,,,,,
SCOLOPACIDAE,ACTMA,Actitis macularius,Playero manchado,MB,,,,,,,,,,
SCOLOPACIDAE,TRISO,Tringa solitaria,Playero solitario,Mb,,,,,,,,,,
SCOLOPACIDAE,TRIME,Tringa melanoleuca,Pata amarilla mayor,Mb,,,,,,,,,,
SCOLOPACIDAE,TRISE,Tringa semipalmata,Playero ala blanca,Mb,,,,,,,,,,
SCOLOPACIDAE,TRIFL,Tringa flavipes,Pata amarilla menor,Mb,,,,,,,,2,,2
THINOCORIDAE,THIRU,Thinocorus rumicivorus,Agachona chica,Ma,,,,,,,,,,
STERCORAIIDAE,STECH,Stercorarius chilensis,Salteador chileno,S,,,,,,,,,,
STERCORAIIDAE,STEPO,Stercorarius pomarinus,Salteador pomarino,Mb,,,,,,,,,,
STERCORAIIDAE,STEPA,Stercorarius parasiticus,Salteador parásito,Mb,,,,,,,,,,
RHYNCHOPIDAE,RYNNI,Rynchops niger,Rayador,Mb,,,,,627,,,,,627
LARIDAE,CHRSE,Chroicocephalus serranus,Gaviota serrana,Ma,,,,,,,,,,
LARIDAE,CHRMA,Chroicocephalus maculipennis,Gaviota de capucho café,S,,,,,,,,,,
LARIDAE,CHRCI,Chroicocephalus cirrocephalus,Gaviota capucho gris,R,29,31,270,45,,,14,,,389
LARIDAE,LEUMO,Leucophaeus modestus,Gaviota gris,S,,,,,4,49,,,,53
LARIDAE,LEUAR,Leucophaeus atricilla,"Gaviota centroamericana, reidora",Mb,,,,,,,,,,
LARIDAE,LEUPI,Leucophaeus pipixcan,Gaviota de Franklin,Mb,,,,,,,,,,
LARIDAE,LARBE,Larus belcheri,Gaviota peruana,Ml,,1,,,33,80,,,,114
LARIDAE,LARDO,Larus dominicanus,Gaviota dominicana,Ml,,,,,12,80,,,,92
LARIDAE,STELO,Sternula lorata,Gaviotín peruano,Ml,,,,,,,,,,
LARIDAE,PHASI,Phaetusa simplex,Gaviotin picudo,Acc,,,,,,,,,,
