NOMBRE COMUN,STATUS,T-6
Piquero común,Ml,3212.0
Guanay,Ml,1977.0
Gaviota de Franklin,Mb,1810.0
Pelícano peruano,Ml,1093.0
Playero blanco,Mb,561.0
Gaviota dominicana,Ml,247.0
"Cushuri, cormorán, cuervo de mar",R,171.0
Gaviota peruana,Ml,167.0
Gaviota gris,S,136.0
Rayador,Mb,86.0
Ostrero común,R,61.0
Zarcillo,Ml,61.0
Polla de agua,R,42.0
Garza blanca chica,R,29.0
Zarapito trinador,Mb,22.0
Gallinazo cabeza negra,R,19.0
Pato gargantillo,R,18.0
Pato rana o taclón,R,12.0
Zambullidor grande,R,12.0
Chuita,Ml,12.0
Yanavico,R,10.0
Tordo amazónico cabeza amarilla,R,9.0
Pato colorado,R,9.0
Pata amarilla menor,Mb,9.0
Chorlo doble collar,R,8.0
Perrito o cigüeñuela,R,7.0
Gaviotín elegante,Mb,6.0
Gaviota capucho gris,R,6.0
Santa Rosita,R,6.0
Ostrero negro,R,4.0
Huerequeque,R,4.0
Playero Combatiente,H,4.0
Garza azul,R,3.0
"Cushuri, cormorán, cuervo de mar",Ml,3.0
Vuelvepiedras,Mb,3.0
Totorero,R,2.0
Huaco de corona amarilla,R,2.0
"Gallareta andina, Huayno",R,2.0
Playero manchado,Mb,2.0
Chisco,R,2.0
Pata amarilla mayor,Mb,1.0
Garza grande,R,1.0
Falaropo de Wilson,Mb,1.0
Garza tamanquita,R,1.0
Gavilán oscuro acanalado,R,1.0
Cucarachero,R,1.0
Siete colores de la totora,R,1.0
Garza cuca,Ma,1.0
Águila pescadora,Mb,1.0
"Turtupillín, putilla",R,1.0
Pelícano marrón,Mb,1.0
Bandurria de Cara Negra,Acc,1.0
