NOMBRE COMUN,STATUS,T-1
Pato gargantillo,R,41.0
"Gaviota centroamericana, reidora",Mb,32.0
Avoceta andina,Ma,29.0
Espatula rosada,Acc,20.0
Águila pescadora,Mb,20.0
Golondrina purpúrea,Mb,18.0
Madrugadora o rabiblanca,R,18.0
Garza grande,R,17.0
"Pato jerga, Pisacca",Ma,16.0
Paloma cuculi,R,14.0
Yanavico,R,9.0
Gallareta de frente amarilla,Acc,9.0
Gallareta frente roja,R,8.0
Garza tamanquita,R,7.0
Pata amarilla menor,Mb,7.0
Pelícano marrón,Mb,5.0
Espiguero corbatón,Ml,5.0
Garza cuca,Ma,4.0
Chisco,R,4.0
"Turtupillín, putilla",R,4.0
Tordo amazónico cabeza amarilla,R,4.0
Gaviota dominicana,Ml,3.0
Cascabelita común,Ml,2.0
Pato cabeza verde,H,1.0
Zambullidor grande,R,1.0
Garza blanca chica,R,1.0
