NOMBRE COMUN,STATUS,T-9
Gallinazo cabeza negra,R,419.0
Tortolita peruana,R,123.0
Gorrion europeo,R,56.0
"Paloma doméstica, paloma de castilla",R,44.0
Santa Rosita,R,12.0
Paloma cuculi,R,12.0
Cucarachero,R,12.0
"Turtupillín, putilla",R,2.0
Siete colores de la totora,R,2.0
Saltapalito,R,2.0
Garza tamanquita,R,2.0
Totorero,R,2.0
Tordo parásito,R,2.0
Amazilia costeña,R,1.0
"Huanchaco, Pecho colorado",R,1.0
"Violinista celeste, Luisa",Ml,1.0
Guardacaballo,R,1.0
Playero manchado,Mb,1.0
Tirano tropical o pepite,R,1.0
