NOMBRE COMUN,STATUS,T-8
Santa Rosita,R,26.0
Pato colorado,R,22.0
Polla de agua,R,10.0
Garza huaco,R,8.0
Mielerito,Ml,7.0
Pata amarilla mayor,Mb,6.0
"Huanchaco, Pecho colorado",R,5.0
Pato gargantillo,R,4.0
Cucarachero,R,3.0
Playero manchado,Mb,2.0
Saltapalito,R,2.0
Paloma cuculi,R,2.0
Gavilán oscuro acanalado,R,1.0
Siete colores de la totora,R,1.0
Garza grande,R,1.0
Garza blanca chica,R,1.0
Totorero,R,1.0
Garza tamanquita,R,1.0
Garcita leonada,R,1.0
"Tordo grande, tordo negro",Ml,1.0
Tordo amazónico cabeza amarilla,R,1.0
