NOMBRE COMUN,STATUS,T-1
Gaviota de Franklin,Mb,2600.0
"Cushuri, cormorán, cuervo de mar",R,240.0
Garza bueyera,R,73.0
Gallinazo cabeza negra,R,65.0
Yanavico,R,34.0
Garza huaco,R,30.0
Gaviota capucho gris,R,16.0
"Gallareta andina, Huayno",R,9.0
Santa Rosita,R,7.0
Polla de agua,R,7.0
Paloma cuculi,R,7.0
Pato colorado,R,5.0
Siete colores de la totora,R,5.0
Playero manchado,Mb,5.0
Gaviota peruana,Ml,5.0
Cucarachero,R,5.0
Zambullidor pico grueso,R,4.0
Zambullidor grande,R,4.0
Totorero,R,4.0
Huaco de corona amarilla,R,2.0
Pato rana o taclón,R,2.0
Triguero común,R,2.0
Espiguero corbatón,Ml,1.0
Garza tamanquita,R,1.0
Gavilán oscuro acanalado,R,1.0
Garza grande,R,1.0
