NOMBRE COMUN,STATUS,T-4
Gaviota capucho gris,R,73.0
"Cushuri, cormorán, cuervo de mar",R,73.0
Santa Rosita,R,24.0
Garza huaco,R,16.0
Gallinazo cabeza negra,R,10.0
Perrito o cigüeñuela,R,9.5
Polla de agua,R,9.0
Paloma cuculi,R,8.0
Pato gargantillo,R,8.0
Pato colorado,R,6.0
Huaco de corona amarilla,R,4.0
Gorrion europeo,R,3.0
Cernícalo,R,3.0
Chorlo doble collar,R,2.0
Garza grande,R,2.0
Pato rana o taclón,R,2.0
Garza blanca chica,R,2.0
Zambullidor pico grueso,R,2.0
Zambullidor grande,R,2.0
Tortolita peruana,R,1.0
Totorero,R,1.0
Cucarachero,R,1.0
Guardacaballo,R,1.0
Zambullidor pimpollo,R,1.0
Tordo amazónico cabeza amarilla,R,1.0
"Gallareta andina, Huayno",R,1.0
