NOMBRE COMUN,STATUS,T-4
"Cushuri, cormorán, cuervo de mar",R,85.0
Gaviota capucho gris,R,59.0
Polla de agua,R,33.0
Pato gargantillo,R,32.0
Pato colorado,R,14.0
Garza huaco,R,13.0
Gallinazo cabeza negra,R,10.0
Santa Rosita,R,9.0
Gorrion europeo,R,6.0
Paloma cuculi,R,4.0
Chorlo doble collar,R,4.0
"Gallareta andina, Huayno",R,4.0
Huaco de corona amarilla,R,3.0
"Tordo grande, tordo negro",Ml,3.0
Garza grande,R,3.0
Amazilia costeña,R,2.0
Zambullidor pimpollo,R,2.0
Pato rana o taclón,R,2.0
Siete colores de la totora,R,2.0
Chisco,R,1.0
Garcita leonada,R,1.0
Garza blanca chica,R,1.0
