NOMBRE COMUN,STATUS,T-9
Gallinazo cabeza negra,R,310.0
Tortolita peruana,R,65.0
Gorrion europeo,R,46.0
Paloma cuculi,R,42.0
"Paloma doméstica, paloma de castilla",R,15.0
Santa Rosita,R,12.0
Cucarachero,R,8.0
Tordo parásito,R,5.0
Amazilia costeña,R,4.0
Espiguero corbatón,Ml,4.0
Guardacaballo,R,3.0
"Turtupillín, putilla",R,3.0
Siete colores de la totora,R,3.0
Chisco,R,2.0
Gavilán oscuro acanalado,R,2.0
Saltapalito,R,2.0
"Huanchaco, Pecho colorado",R,2.0
Garza tamanquita,R,1.0
Mielerito,Ml,1.0
Cernícalo,R,1.0
"Violinista celeste, Luisa",Ml,1.0
