NOMBRE COMUN,STATUS,T-7
Piquero común,Ml,160.0
Tordo amazónico cabeza amarilla,R,42.0
Paloma cuculi,R,37.0
Chorlo doble collar,R,23.0
"Violinista celeste, Luisa",Ml,18.0
Gallinazo cabeza negra,R,17.0
"Tordo grande, tordo negro",Ml,17.0
Gaviota capucho gris,R,14.0
Yanavico,R,13.0
Santa Rosita,R,10.0
Chuita,Ml,10.0
Polla de agua,R,10.0
Garza blanca chica,R,9.0
"Huanchaco, Pecho colorado",R,8.0
Chisco,R,8.0
Garza bueyera,R,7.0
"Cushuri, cormorán, cuervo de mar",Ml,6.0
Lechuza de los arenales,R,5.0
"Turtupillín, putilla",R,4.0
Triguero común,R,4.0
Pato colorado,R,3.0
Guardacaballo,R,3.0
Garza azul,Ml,3.0
Totorero,R,2.0
Cucarachero,R,2.0
Cernícalo,R,2.0
Madrugadora o rabiblanca,R,2.0
Siete colores de la totora,R,2.0
Amazilia costeña,R,1.0
Garza tamanquita,R,1.0
Gavilán oscuro acanalado,R,1.0
Garza grande,R,1.0
Tirano tropical o pepite,R,1.0
