NOMBRE COMUN,STATUS,T-1
Gaviota capucho gris,R,114.0
Garza blanca chica,R,57.0
Gaviota de Franklin,Mb,24.0
Pato gargantillo,R,22.0
Polla de agua,R,21.0
Totorero,R,16.0
Gallinazo cabeza negra,R,15.0
"Gallareta andina, Huayno",R,13.0
Paloma cuculi,R,11.0
Perrito o cigüeñuela,R,9.0
Pato colorado,R,8.0
Garza tamanquita,R,7.0
Saltapalito,R,6.0
"Cushuri, cormorán, cuervo de mar",R,4.0
"Paloma doméstica, paloma de castilla",R,4.0
Tortolita peruana,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Playero manchado,Mb,2.0
Pato rana o taclón,R,2.0
Zambullidor pico grueso,R,2.0
Pata amarilla menor,Mb,1.0
Cucarachero,R,1.0
Tordo amazónico cabeza amarilla,R,1.0
Chorlo doble collar,R,1.0
