NOMBRE COMUN,STATUS,T-5
Rayador,Mb,100.0
"Cushuri, cormorán, cuervo de mar",R,99.0
Gaviota capucho gris,R,48.0
Pelícano peruano,Ml,46.0
Pato colorado,R,36.0
Yanavico,R,31.0
Gaviota peruana,Ml,28.0
Zarapito trinador,Mb,24.0
Polla de agua,R,21.0
Gaviota dominicana,Ml,20.0
Pato gargantillo,R,16.0
Gallinazo cabeza negra,R,15.0
Pato rana o taclón,R,14.0
Ostrero común,R,12.0
"Gallareta andina, Huayno",R,9.0
Perrito o cigüeñuela,R,8.0
Santa Rosita,R,7.0
Siete colores de la totora,R,6.0
Playero manchado,Mb,6.0
Chisco,R,6.0
Parihuana,Ma,4.0
Zambullidor pimpollo,R,4.0
Garza huaco,R,4.0
Huaco de corona amarilla,R,3.0
Totorero,R,3.0
Garza azul,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Golondrina migratoria,Mb,2.0
Chorlo doble collar,R,2.0
Zambullidor grande,R,1.0
Playero pico fino,Mb,1.0
Triguero común,R,1.0
Paloma cuculi,R,1.0
Amazilia costeña,R,1.0
Garza grande,R,1.0
Gavilán oscuro acanalado,R,1.0
"Huanchaco, Pecho colorado",R,1.0
Tordo amazónico cabeza amarilla,R,1.0
Espatula rosada,Acc,1.0
