NOMBRE COMUN,STATUS,T-4
Falaropo de Wilson,Mb,36.0
"Cushuri, cormorán, cuervo de mar",R,31.0
Pato gargantillo,R,21.0
Pato colorado,R,20.0
Pata amarilla menor,Mb,16.0
Gaviota capucho gris,R,14.0
Perrito o cigüeñuela,R,13.0
Gallinazo cabeza negra,R,13.0
Polla de agua,R,13.0
Pata amarilla mayor,Mb,13.0
Paloma cuculi,R,12.0
"Paloma doméstica, paloma de castilla",R,8.0
Garza huaco,R,5.0
Garza tamanquita,R,4.0
Zambullidor pimpollo,R,4.0
Garza grande,R,4.0
Santa Rosita,R,4.0
Totorero,R,3.0
Tordo amazónico cabeza amarilla,R,3.0
Pato rana o taclón,R,3.0
Cernícalo,R,2.0
"Tordo grande, tordo negro",Ml,2.0
Amazilia costeña,R,2.0
Gaviota dominicana,Ml,1.0
Chisco,R,1.0
Zambullidor pico grueso,R,1.0
Chorlo doble collar,R,1.0
Garcita leonada,R,1.0
